81z18,καλήτης καὶ κάλη
82z1,κονίαμα
82z2,κερματίζειν λόγον
82z3,κῆδος
82z5,κεκιβδηλευμένον νόμισμα
82z7,κακόν τι σαυτῷ προυφείλεις
82z9,κορίζεσθαι καὶ ὑποκορίζεσθαι
82z13,καλλιγραφῆσαι
82z14,κύειν καὶ τεκεῖν
82z17,κλεῖδα
82z18,καταρκεῖ
82z20,κάκιστος φαγεῖν
83z1,καταλεγείς
83z3,κατακορὴς οἴνῳ
83z4,καπνοῦ σκιᾷ
83z6,καταλεπτολογεῖν
83z8,κενὰ ψοφεῖν
83z9,κίων στόματος
83z10,κακοῖς κακὰ ἰᾶσθαι
83z13,καταδακτυλίζειν
83z16,καθαρὰ βλέπειν
83z18,κύκηθρον
84z1,κυνηγεττεῖν
84z3,κυνοφθαλμίζεται
84z5,κέρκῳ σαίνειν
84z8,κυνοκοπῆσαι τὸν νῶτον
84z10,κλῳομάστιξ
84z12,κάμινον ἔχει ἐν τῷ πνεύμονι
84z15,κάπηλον φρόνημα
84z18,κρανιόλειος
84z20,κνισοτηρητής
84z22,κυνάριον
85z1,καλλιτράπεζος
85z3,κυνοδέσμαι
85z5,κυνοκέφαλλος
85z7,κάλλιστα
85z10,λεπτοσχιδής
85z12,"λεπτή τις ἐλπίς, ἐφ' ἧς ὀχούμεθα"
85z14,λεπτολογία
85z16,λεπτοί
85z17,λεπτακινόν
85z19,λειπογνώμων
86z3,λιμοκόλακες
86z5,λέκιθος
86z7,λάληθρον
86z9,ληκυθίζειν
86z11,λισπόπυγος
86z13,λακωνομανεῖν
86z15,λευκὸν ἀγαθόν
86z16,λείριον
86z29,λογοπλάθος
86z21,λυχνίον
87z1,"λυχνοῦχος, λαμπτήρ, φανός"
87z7,λωβᾶσθαι τόνδε καὶ τῷδε
87z9,λαίθαργος κύων
87z12,λογγάζειν
87z15,λαλεῖν τοῦ λέγειν διαφέρει
87z17,λέπειν
87z18,λόγοις πιαίνειν
88z1,λευκηπατίας
88z2,λάσανα
88z4,λίστριον
88z8,ληνούς
88z11,μηροκαυτεῖν
88z12,μονογέρων
88z14,μεθυσοχάρυβδις
88z16,μετοίκιος Ζεύς
88z18,μεταβάλλεσθαι
89z1,μηδὲν ὑπέρφευ
89z2,μάσθλης
89z4,μεθιστάναι καὶ ἱστάναι
89z5,μαλακιᾶν
89z6,μανόν
89z8,μυκῆτα λύχνων
89z10,μεταίτην
89z11,μεταπομπή
89z12,μολυβδιᾶς ὑπὸ νόσου
89z14,μὴ μέθῃ τοῦδε
89z15,μωλύειν
89z17,μετωπιαία θρίξ
90z1,νεανίευμα
90z4,νεανιεύσασθαι
90z6,νεόπλουτος
90z8,"νεοπλυνῆ χλαῖναν, νεοπλυνὲς ἱμάτιον. νεαλές"
90z9,νεαλές
90z14,νουμηνία
91z1,νεολαία
91z3,νῆστις ὀσμή
91z4,νοσεῖν
91z5,νῆστις
91z7,"ὀνειρόμαντις, ἀστρόμαντις, ὀρνιθόμαντις, ἀλφιτόμαντις"
91z9,οὐδέποτε
91z13,ὀψάριον
91z15,οὐδὲ ἕν
92z1,ὄμφακας βλέπειν
92z3,ὄζειν ἐτῶν
92z5,ὀρθαγγελεῖν
92z6,ὀνυχιμαῖα τέμνειν
92z7,οἴδατε
92z8,"ὅσια μανθάνειν, ὅσια ἰδεῖν, ὅσια ἀκοῦσαι"
92z10,οὐδέν σου παρίεμαι
92z12,οὐδὲν κακὸν <γὰρ> ῥᾳδίως ἀπόλλυται
92z14,"οὐκ ἔστιν τοσοῦτον ὤνιον ἑλλεβόρου, ὥστε τινὰ ἰᾶσθαι"
92z17,ὄχλος ἄλλως
92z18,ὄζει κνίσης
92z19,ὁρκωμόσια
93z1,ὀφρυάζειν
93z2,ὀργάζειν πηλόν
93z7,ὀρίνδα
93z8,ὁσημέραι
93z10,ὄρνεις καὶ ὄρνιθες
93z11,οὐδαμοῦ λέγω τοῦτον
93z13,"ὄρθριος χρὴ λέγειν, οὐκ ὀρθρινός"
94z9,ὀμφακίας θυμός
94z11,ὁλότμητα δεῖπνα
94z13,ὀρνιθεῖα
94z15,ὀνογάστρις ἄνθρωπος
94z17,ὄστινον
94z19,ὁ λόγος ὅδε οὐκ εὖ φρονεῖ
94z21,οὐδὲ πάτταλον ἂν δοίης
95z5,ὁμοσπονδεῖν
95z6,οἰνήρυσις
95z9,ὀνυχίζειν καὶ ἐξονυχίζειν
95z11,"ὀττόμενος, ὄττα, ὠττευόμην"
